ROI_ID,ROI_Name,centerX,centerY,centerZ
74,Putamen_R,27.484962406015043,3.6785714285714164,1.1936090225563873
75,Pallidum_L,-18.061433447098977,-1.3583617747440258,-1.0443686006825885
76,Pallidum_R,20.921428571428578,-1.057142857142864,-1.085714285714289
77,Thalamus_L,-11.198181818181823,-18.843636363636364,6.607272727272729
78,Thalamus_R,12.703878902554393,-18.768211920529808,6.7284768211920465
79,Heschl_L,-42.346666666666664,-20.03555555555556,8.675555555555562
80,Heschl_R,45.87951807228916,-18.144578313253007,9.044176706827315
81,Temporal_Sup_L,-53.43554006968641,-22.009581881533094,5.840592334494772
82,Temporal_Sup_R,57.83253740846865,-23.01050620821394,5.418656478828396
83,Temporal_Pole_Sup_L,-40.15408560311284,13.867704280155635,-21.436575875486383
